,it,it_time,total_time,total_area
0,0,23059.97,23059.97,174271.04027104055
1,1,24240.57,47300.54,174783.32443906934
2,2,24884.97,72185.51000000001,174436.87961430865
3,3,26054.37,98239.88,174522.3801517436
4,4,24782.97,123022.85,174149.02954286512
5,5,24367.97,147390.82,174857.5968140955
6,6,25705.77,173096.59,174529.86032530415
7,7,24956.57,198053.16,174721.7544981181
8,8,22793.97,220847.13,174916.99670335307
9,9,25613.17,246460.3,174890.51148589505
10,10,24061.77,270522.07,174713.99442588878
11,11,24690.37,295212.44,174813.8529637267
12,12,25196.37,320408.81,174522.40847791664
13,13,22541.77,342950.58,174158.34889351032
